LotArea,BedroomAbvGr,KitchenAbvGr,SalePrice
14803,4,1,190000
13500,1,1,235000
11340,4,1,125000
9600,2,1,79000
7200,2,1,109500
12003,4,1,269500
12552,3,1,254900
19378,4,1,320000
11120,3,1,162500
13688,3,1,412500
12182,3,1,220000
5500,1,1,103200
5400,3,1,152000
10106,4,2,127500
10708,2,1,190000
10562,3,1,325624
8244,3,1,183500
16669,2,1,228000
12358,2,1,128500
31770,3,1,215000
5306,2,1,239000
10197,3,1,163000
12416,3,1,184000
12615,4,1,243000
10029,4,1,211000
13650,4,1,172500
17423,1,1,501837
8520,2,1,100000
2117,3,1,177000
7588,4,1,200100
9060,3,1,120000
11426,3,1,200000
7438,3,1,127000
22950,4,1,475000
9947,3,1,173000
10410,3,1,135000
7018,2,2,153337
4923,0,1,286000
10570,3,1,315000
7472,4,1,184000
9017,3,1,192000
2522,3,1,130000
7180,3,1,127000
2280,3,1,148500
9416,3,1,311872
25419,4,1,235000
5520,5,1,104000
9591,3,1,274900
8546,2,1,140000
10125,3,1,171500
7000,2,1,112000
4438,1,1,149000
3500,2,1,110000
11851,3,1,180500
13673,3,1,143900
12493,3,1,141000
14364,3,1,277000
8250,3,1,145000
5604,2,1,98000
10420,3,1,186000
8640,3,1,252678
13568,3,1,156000
10900,3,1,161750
10011,2,1,134450
8450,3,1,210000
9906,3,1,107000
15660,3,1,311500
3010,2,1,167240
8990,2,1,204900
8068,4,1,200000
11475,3,1,179900
10500,2,1,97000
13472,3,1,386250
1680,3,1,112000
9950,4,1,290000
1869,2,1,106000
8521,3,1,125000
3182,2,1,192500
8760,3,1,148000
15138,4,1,403000
1680,2,1,94500
10650,3,1,128200
7851,4,1,216500
1680,2,1,89500
8773,3,1,185500
9453,3,1,194500
12030,3,1,318000
8741,3,1,113000
9000,3,1,262500
3880,2,1,110500
5000,3,1,79000
10762,3,1,120000
8880,3,1,205000
10400,3,1,241500
9142,4,2,137000
11310,2,1,140000
11317,3,1,180000
159000,4,1,277000
5350,3,1,76500
4750,2,1,235000
8366,3,1,173000
9350,3,1,158000
8400,3,1,145000
8738,4,1,230000
8791,3,1,207500
8814,3,1,220000
12435,3,1,231500
12702,2,1,97000
19296,3,1,176000
9588,3,1,276000
8471,3,1,151000
5500,3,1,130000
5232,2,1,73000
12090,3,1,175500
11207,3,1,185000
8400,4,1,179500
6900,2,1,120500
7917,3,1,148000
10728,3,1,266000
39104,2,1,241500
11764,4,1,290000
9600,3,1,139000
8314,2,1,124500
7264,3,1,205000
9196,3,1,201000
19138,2,1,141000
14450,3,1,415298
10005,4,1,192000
11287,3,1,228500
7200,2,1,185000
5063,2,1,207500
9612,3,1,244600
8012,2,1,179200
4251,2,1,164700
9786,3,1,159000
8125,3,1,88000
9819,3,1,122000
8730,3,1,153575
15611,3,1,233230
5687,6,1,135900
11409,3,1,131000
16659,3,1,235000
9600,3,1,167000
7937,3,1,142500
13710,4,1,152000
7399,3,1,239000
11700,3,1,175000
14000,3,1,158500
15750,2,1,157000
16226,4,1,267000
13704,3,1,205000
9800,3,1,149900
18386,3,1,295000
10386,3,1,305900
13474,4,1,225000
7920,3,1,89500
12342,1,1,82500
12378,3,1,360000
7685,3,1,165600
8000,2,1,132000
7800,3,1,119900
215245,3,1,375000
9600,3,1,178000
7795,3,1,188500
13005,4,1,260000
9000,3,1,270000
9900,4,1,260000
14115,3,1,187500
16259,4,1,342643
12099,4,1,354000
10380,4,1,301000
5820,3,1,126175
11275,5,1,242000
5000,2,1,87000
10846,1,1,324000
11600,3,1,145250
11888,5,1,214500
6402,3,1,78000
10624,6,2,119000
8176,3,1,139000
10655,3,1,284000
8198,2,1,207000
9042,3,1,192000
164660,3,1,228950
14157,3,1,377426
9135,3,1,214000
14145,3,1,202500
12400,3,1,155000
14191,4,1,202900
8400,2,1,82000
8544,2,2,87500
8849,2,1,266000
2592,3,1,85000
6435,3,1,140200
12772,2,1,151500
17600,3,1,157500
2448,2,1,154000
20431,4,1,437154
7820,2,1,318061
5271,2,1,190000
9084,3,1,95000
8520,2,1,105900
8400,2,1,140000
11249,3,1,177500
9248,3,1,173000
4224,3,1,134000
6930,3,1,130000
12011,3,1,280000
7540,2,1,156000
9144,3,1,145000
7301,4,1,198500
1680,2,1,118000
18800,3,1,190000
10690,3,1,147000
9500,3,1,159000
9150,3,1,165000
7800,2,1,132000
9830,3,1,162000
8121,3,1,172400
17120,4,1,134432
7175,2,1,125000
10634,3,1,123000
8200,4,1,219500
10020,1,1,61000
8846,2,1,148000
11143,4,1,340000
11394,1,1,394432
8123,3,1,179000
5000,3,1,127000
7200,2,1,187750
9245,3,1,213500
9000,2,1,76000
53107,3,1,240000
3182,2,1,192000
8410,5,1,81000
7200,3,1,125000
9382,3,1,191000
12474,3,1,426000
8405,4,1,119000
12209,3,1,215000
8339,3,1,106500
7446,2,1,100000
10134,2,1,109000
9571,3,1,129000
7200,2,1,123000
7590,4,1,169500
8967,2,1,67000
8125,2,1,241000
14963,1,1,245500
8767,3,1,164990
10200,2,1,108000
12090,4,1,258000
10364,3,1,168000
9991,3,1,150000
10480,3,1,115000
15576,4,1,177000
14154,3,1,280000
10800,3,1,339750
9571,3,1,60000
34650,3,1,145000
4403,2,1,222000
8960,2,1,115000
11228,3,1,228000
8899,3,1,181134
7844,3,1,149500
22420,4,1,239000
8160,3,1,126000
8450,3,1,142000
7060,2,2,206300
16635,3,1,215000
21750,2,1,113000
9200,4,1,315000
9000,2,1,139000
3378,3,1,135000
12800,2,1,275000
8593,3,1,109008
6762,2,1,195400
11457,3,1,175000
1680,2,1,85400
5586,4,1,79900
1920,2,1,122500
10839,3,1,181000
1890,1,1,81000
10667,3,1,212000
4400,2,1,116000
6000,2,1,119000
4280,2,1,90350
12354,3,1,110000
15431,2,1,555000
12108,4,2,118000
6240,3,1,162900
3922,2,1,172500
8750,4,1,210000
9855,3,1,127500
16492,2,1,190000
11214,4,1,199900
8600,3,1,119500
6000,2,1,120000
5684,2,1,110000
70761,2,1,280000
9303,3,1,204000
9000,3,1,210000
9297,4,2,188000
9600,3,1,175500
4571,4,1,98000
53227,2,1,256000
5100,3,1,161000
7015,3,1,110000
8004,3,1,263435
7200,3,1,155000
8281,3,1,62383
11988,3,1,188700
8430,3,1,124000
3072,2,1,178740
10628,2,1,167000
9480,3,1,146500
11428,3,1,250000
9291,3,1,187000
6820,1,1,212000
11952,3,1,190000
3675,2,1,148000
14977,2,1,440000
5330,2,1,251000
8480,2,1,132500
13125,3,1,208900
13693,3,1,380000
10637,3,1,297000
5925,2,1,89471
16033,3,1,326000
11846,2,1,374000
2500,4,1,155000
4500,2,1,164000
7758,3,1,132500
9600,3,1,147000
10289,3,1,156000
12243,3,1,175000
10800,3,2,160000
1526,1,1,86000
2665,3,1,115000
9490,3,1,133000
15578,3,1,172785
7931,3,1,155000
5784,2,1,91300
7879,2,1,34900
12692,4,1,430000
9120,4,1,184000
7800,3,1,130000
7535,2,1,120000
1890,3,1,113000
9803,3,1,226700
9170,2,1,140000
15602,1,1,289000
2308,3,1,147000
7596,4,2,124500
9554,3,1,215000
7862,2,1,208300
9600,3,1,161000
9600,3,1,124500
14559,2,1,164900
6792,2,1,202665
9100,3,1,129900
9187,3,1,134000
10594,2,1,96500
12220,3,1,402861
10448,3,1,158000
10208,3,1,265000
9531,3,1,211000
10918,3,1,234000
10800,3,2,106250
11988,3,1,150000
5000,3,1,159000
40094,3,1,184750
11787,3,1,315750
7500,3,1,176000
13300,2,1,132000
14948,3,1,446261
9098,2,1,86000
32668,4,2,200624
10200,3,1,175000
6155,3,1,128000
7200,2,1,107500
5000,1,1,39300
9056,3,1,178000
7000,3,1,107500
8924,3,1,188000
12735,3,1,111250
11553,3,1,158000
11423,3,1,272000
14601,2,1,315000
11000,4,1,248000
10140,3,1,213250
4058,1,1,133000
17104,3,1,179665
13837,4,1,229000
8737,3,1,210000
7244,2,1,129500
8235,2,1,125000
9375,4,1,263000
4043,2,1,140000
6000,3,1,112500
11146,3,1,255500
8777,2,1,108000
10625,3,1,284000
6380,2,1,113000
14850,2,1,141000
11040,3,1,108000
21872,3,1,175000
3196,2,1,234000
11341,3,1,121500
10010,2,1,170000
13907,3,1,108000
21780,4,1,185000
13346,4,1,268000
6858,4,1,128000
11198,4,1,325000
10171,3,1,214000
12327,1,1,316600
7032,2,1,135960
13101,6,2,142600
7332,2,1,120000
13159,3,1,224500
9967,3,1,170000
10500,3,1,139000
8480,2,1,118500
6292,3,1,145000
11777,3,1,164500
3604,2,1,146000
12150,4,1,131500
14585,3,1,181900
12704,3,1,253293
11841,3,1,118500
13500,3,1,325000
6120,3,1,133000
11443,2,1,369900
10267,2,1,130000
8740,2,1,137000
25095,1,1,143000
9100,2,1,79500
8320,3,1,185900
13478,3,1,451950
6600,2,1,138000
4435,1,1,140000
7990,3,1,110000
11302,3,1,319000
3600,3,1,114504
3922,2,1,194201
12984,3,1,217500
1950,3,1,151000
10927,3,1,275000
9000,3,1,141000
10041,3,1,220000
3182,2,1,151000
12803,3,1,221000
13600,3,1,205000
12464,3,1,152000
7800,3,1,225000
12168,4,1,359100
7943,3,1,118500
11050,3,1,313000
10395,3,1,148000
11885,3,1,261500
8402,3,1,147000
1491,1,1,75500
8800,3,1,137500
7861,3,1,183200
7227,2,1,105500
11694,3,1,314813
12244,4,1,305000
8248,2,1,67000
10800,4,1,240000
7064,3,1,135000
2117,2,1,168500
10400,4,1,165150
10000,3,1,160000
12342,3,1,139900
9600,3,1,153000
11606,5,1,135000
9020,3,1,168500
9000,3,1,124000
4590,2,1,209500
11900,3,1,82500
9250,3,1,139400
6979,0,2,144000
10896,8,2,200000
6120,1,1,60000
6000,3,2,93000
8777,2,1,85000
3982,1,1,264561
12677,1,1,274000
7050,3,1,226000
13860,4,1,345000
10793,4,1,152000
9187,2,1,370878
10530,3,1,143250
7200,3,1,98300
10452,3,1,155000
7700,4,1,155000
1936,1,1,84500
8125,3,1,205950
9084,4,1,108000
8750,2,1,191000
10320,3,1,135000
10437,2,1,350000
1680,3,1,88000
10007,3,1,145500
7200,3,1,149000
17503,3,1,97500
9937,3,1,167000
12384,3,1,197900
46589,4,1,402000
13560,2,1,110000
10012,3,1,137500
20896,1,1,423000
11194,3,1,230500
18450,3,1,129000
8125,3,1,193500
14175,3,1,168000
11600,2,1,137500
8633,3,1,173500
6629,3,1,103600
11250,3,1,165000
14442,3,1,257500
9200,3,1,140000
2289,3,1,148500
9600,4,2,87000
9022,2,1,109500
11844,3,1,372500
9945,3,1,128500
8012,2,1,143000
4500,3,1,159434
2887,2,1,173000
11248,3,1,285000
16770,4,1,221000
5062,3,1,207500
10207,3,1,227875
5105,2,1,148800
8089,2,1,392000
7577,2,1,194700
4426,1,1,141000
21535,4,1,755000
26178,4,1,335000
5400,2,1,108480
6120,3,1,141500
13811,2,1,176000
6000,2,1,89000
6420,2,1,123500
8450,3,1,138500
4282,2,1,196000
14331,3,1,312500
9600,3,1,140000
12438,4,1,361919
7630,4,2,140000
8400,3,1,213000
5600,3,2,55000
115149,2,1,302000
6240,2,1,254000
9018,3,1,179540
7162,3,1,109900
4130,2,1,52000
8712,2,1,102776
4671,2,1,189000
9873,3,1,129000
13517,3,1,130500
10140,3,1,165000
10800,3,1,159500
10000,3,1,157000
10542,3,1,341000
9920,3,1,128500
6563,2,1,275000
4426,1,1,143000
8120,3,1,124500
8172,4,1,135000
13286,3,1,320000
6960,3,1,120500
21695,3,1,222000
7314,2,1,194500
11475,4,2,110000
6240,2,1,103000
5389,2,1,236500
9590,3,1,187500
11404,3,1,222500
10000,3,1,131400
8978,3,1,108000
10800,2,1,163000
8544,2,2,93500
10463,3,1,239900
10800,3,1,179000
9313,3,1,190000
9600,2,1,132000
6768,3,1,142000
8450,3,1,179000
12886,3,1,175000
5395,2,1,180000
8963,4,1,299800
8795,4,1,236000
11700,4,1,265979
10593,3,1,260400
8405,4,1,98000
8800,3,1,96500
7750,3,1,162000
9236,3,1,217000
10240,3,1,275500
7930,3,1,156000
3230,3,1,172500
10769,3,1,212000
11616,3,1,158900
2280,3,1,179400
12257,4,1,290000
9100,2,1,127500
6911,2,1,100000
8640,3,1,215200
9430,3,1,337000
9549,2,1,270000
14587,2,1,264132
10421,3,1,196500
12508,4,1,160000
9100,3,1,216837
53504,4,1,538000
7252,2,1,134900
8877,2,1,102000
7819,3,1,107000
10150,2,1,114500
14226,3,1,395000
4500,2,1,162000
11210,3,1,221500
13350,3,1,142500
8400,4,2,144000
10530,2,1,135000
7875,3,1,176000
7153,3,1,175900
16285,3,1,187100
9101,1,1,165500
6300,3,1,128000
9790,3,1,161500
10800,4,1,139000
10142,4,1,233000
6000,2,1,107900
12205,5,1,187500
3182,2,1,160200
11333,3,1,146800
9920,3,1,269790
9158,3,1,225000
10832,3,1,194500
8400,3,1,171000
8197,3,1,143500
7677,2,1,110000
13518,4,1,485000
7200,3,1,175000
12798,4,1,200000
4800,2,1,109900
8199,3,1,189000
13891,4,1,582933
9000,2,1,118000
12274,3,1,227680
9750,3,1,135500
21384,3,1,223500
13400,3,1,159950
8100,2,3,106000
10140,3,1,181000
4438,1,1,144500
8712,2,1,55993
9750,4,1,157900
8248,3,1,116000
12137,3,1,224900
11425,2,1,137000
13265,3,1,271000
8816,3,1,155000
6371,2,1,224000
7226,3,1,183000
6000,2,1,93000
12394,3,1,225000
9900,3,1,139500
11216,3,1,232600
14803,2,1,385000
6130,2,1,109500
8529,3,1,189000
28698,3,1,185000
2544,2,1,147400
11900,3,1,166000
3180,2,1,151000
9548,3,1,237000
10004,3,1,167000
7875,3,1,139950
9600,2,1,128000
8100,2,1,153500
1680,2,1,100000
9525,3,1,144000
11767,3,1,130500
12155,4,1,140000
10440,3,1,157500
9020,3,1,174900
8000,6,2,141000
12665,4,1,153900
16647,3,1,171000
9317,3,1,213000
15523,3,1,133500
45600,5,1,240000
9600,3,1,187000
4435,1,1,131500
3196,2,1,215000
7128,4,1,164000
12095,3,1,158000
17920,3,1,170000
6897,3,1,127000
10970,3,1,147000
8125,3,1,174000
10400,3,1,152000
11029,4,1,250000
7642,3,1,189950
11625,3,1,131500
9672,3,1,152000
7931,3,1,132500
8640,3,1,250580
8750,3,1,148500
10656,3,1,248900
6970,3,1,129000
14762,2,1,169000
9938,3,1,236000
6600,2,1,109500
8750,3,1,200500
8892,3,1,116000
12144,3,1,133000
5720,3,1,66500
9000,4,1,303477
25286,3,1,132250
8834,4,1,350000
11782,3,1,148000
7000,3,1,136500
7024,2,1,157000
13758,3,1,187500
9636,3,1,178000
6204,5,1,118500
7150,3,1,100000
5119,2,1,328900
8393,4,2,145000
16466,3,1,135500
15865,4,1,268000
12160,2,1,149500
8064,3,1,122900
11184,3,1,172500
8414,3,1,154500
13284,3,1,165000
7018,4,2,118858
7056,4,1,140000
8765,2,1,106500
7018,6,2,142953
12919,2,1,611657
6993,3,1,135000
7340,2,1,110000
8712,2,1,153000
7875,3,1,180000
14859,3,1,240000
6173,3,1,125500
9920,3,1,128000
13501,3,1,255000
11500,3,1,250000
8885,2,1,131000
12589,3,1,174000
11600,5,2,154300
9286,3,1,143500
6120,3,1,88000
6270,4,2,145000
3000,2,1,173733
2001,3,1,75000
9000,1,1,35311
17140,3,1,135000
13125,4,1,238000
11029,3,1,176500
8462,3,1,201000
8777,4,2,145900
10237,3,1,169990
8012,2,1,193000
10240,3,1,207500
15611,3,1,175000
11999,4,1,285000
9900,4,1,176000
11838,3,1,236500
13006,4,1,222000
8925,3,1,201000
9100,2,1,117500
11670,3,1,320000
8487,3,1,190000
27650,4,1,242000
5825,1,1,79900
10083,2,1,184900
9675,3,1,253000
8760,3,1,239799
24090,4,1,244400
12640,4,2,150900
8755,3,1,214000
7711,4,2,150000
25000,4,2,143000
14375,3,1,137500
8820,2,1,124900
8163,3,1,143000
14536,3,1,270000
14006,3,1,192500
9360,3,1,197500
7200,3,1,129000
7800,3,1,119900
7200,2,1,133900
11075,4,1,172000
9400,4,0,127500
7136,4,2,145000
1300,2,1,124000
7420,3,1,132000
8450,3,1,185000
2572,3,1,155000
7207,2,1,116500
12227,4,1,272000
2308,3,1,155000
11923,2,1,239000
11316,4,1,214900
10237,3,1,178900
9600,2,1,160000
7390,3,1,135000
5925,2,1,37900
10382,2,1,140000
10800,4,1,135000
2268,2,1,173000
7892,2,1,99500
11639,3,1,182000
11414,3,1,167500
2651,3,1,165000
5900,2,1,85500
4274,1,1,199900
9450,3,1,110000
8816,3,1,139000
12122,3,1,178400
12203,4,1,336000
3182,2,1,159895
11250,4,1,255900
10125,4,2,126000
10880,3,1,125000
5310,2,1,117000
10159,3,1,395192
12046,4,1,195000
8125,3,1,197000
9452,3,1,348000
17671,4,1,168000
9760,3,1,187000
8846,3,1,173900
12456,3,1,337500
4712,3,1,121600
10659,3,1,136500
11717,2,1,185000
9786,3,1,91000
6762,2,1,206000
10206,2,1,82000
5400,2,1,86000
11957,3,1,232000
11500,4,2,136905
3182,1,1,181000
8385,3,1,149900
12155,3,1,163500
2217,3,1,88000
12118,3,1,240000
6000,4,1,102000
21286,4,1,135000
9825,4,2,100000
10592,3,1,165000
7200,2,1,85000
11664,2,1,119200
8400,3,1,227000
11883,3,1,203000
5814,1,1,187500
10784,3,1,160000
3013,2,1,213490
7024,2,1,176000
7406,2,1,194000
9439,2,1,87000
3182,2,1,191000
15498,2,1,287000
7700,3,1,112500
9300,3,1,167500
9520,3,1,293077
9492,3,1,105000
1680,3,1,118000
7082,5,2,160000
15863,5,1,197000
14541,5,1,310000
8125,3,1,230000
6305,2,1,119750
11500,3,1,84000
12898,2,1,315500
9240,3,1,287000
1533,3,1,97000
1477,1,1,80000
13125,3,1,155000
9130,4,1,173000
5381,1,1,196000
11839,4,1,262280
9600,4,1,278000
13680,4,1,139600
16056,4,1,556581
9245,3,1,145000
21750,3,1,115000
11100,2,1,84900
8993,3,1,176485
11175,3,1,200141
9500,4,1,165000
8562,4,1,144500
11367,3,1,255000
11361,3,1,180000
7052,2,1,185850
29959,3,1,248000
11308,3,1,335000
11275,3,1,220000
4920,2,1,213500
18000,2,1,81000
13600,5,2,90000
6000,2,1,110500
11000,3,1,154000
14000,3,1,328000
7837,3,1,178000
9760,4,1,167900
3964,5,1,151400
9600,2,1,135000
10152,3,1,135000
11700,4,1,154000
7585,4,1,91500
7950,3,1,159500
8556,2,1,194000
13125,3,1,219500
10800,3,1,170000
15870,3,1,138800
4435,1,1,155900
8775,3,1,126000
11040,3,1,145000
7500,3,1,133000
8749,3,1,192000
8800,3,1,160000
13031,3,1,187500
9069,2,1,147000
1974,3,1,83500
10574,3,1,252000
2522,3,1,137500
3316,1,1,197000
8544,2,2,92900
2160,2,1,160000
8400,4,1,136500
9230,1,1,146000
5868,2,1,129000
9317,3,1,176432
6882,3,1,127000
3696,2,1,170000
6000,3,1,128000
11880,3,1,157000
8400,1,1,60000
9758,3,1,119500
7000,2,1,135000
8910,3,1,159500
2016,3,1,106000
12256,3,1,325000
10357,3,1,179900
23257,3,1,274725
8063,3,1,181000
11362,3,1,280000
8000,3,1,188000
10480,4,1,205000
7100,2,1,129900
8923,2,1,134500
5400,2,1,117000
12085,3,1,318000
7750,3,1,184100
9764,3,1,130000
13825,3,1,140000
7560,3,1,133700
8263,2,1,118400
10084,3,1,212900
8926,3,1,112000
9405,2,1,118000
9125,3,1,163900
10434,2,1,115000
3684,2,1,174000
14572,3,1,259000
11796,4,1,215000
7200,2,1,140000
7804,4,1,135000
10712,3,1,93500
9900,5,1,117500
9828,3,1,239500
8773,3,1,169000
6180,2,1,102000
9600,3,1,119000
6342,2,1,94000
9819,2,1,196000
8731,3,1,144000
7350,2,1,139000
10304,4,1,197500
9965,4,1,424870
9000,3,1,80000
12180,2,1,80000
6240,3,1,149000
11200,3,1,180000
12000,3,1,174500
5700,2,1,116900
9000,3,1,143000
8280,2,1,124000
17755,3,1,149900
14115,2,1,230000
5890,2,1,120500
13700,4,1,201800
10768,3,1,218000
9350,3,1,179900
5001,2,1,230000
11932,3,1,235128
9120,4,1,185000
2280,3,1,146000
14778,3,1,224000
8724,3,1,129000
12900,0,2,108959
16157,2,1,194000
9541,3,1,233170
10475,3,1,245350
10852,3,1,173000
13728,4,1,235000
35760,4,1,625000
9880,3,1,171000
9120,3,1,163000
4017,2,1,171900
18030,3,1,200500
16560,4,1,239000
10678,4,1,285000
6951,3,1,119500
3950,3,1,115000
7681,3,1,154900
8335,3,1,93000
11170,4,1,250000
5587,2,1,392500
15623,4,1,745000
10800,2,1,120000
35133,3,1,186700
9738,4,1,104900
10615,3,2,95000
12461,2,1,262000
8935,3,1,195000
7500,3,1,189000
32463,3,1,168000
2645,2,1,174000
9600,3,1,125000
4500,2,1,165000
9364,4,1,158000
8029,3,1,176000
14054,4,1,219210
8850,3,1,144000
9100,3,1,178000
11235,3,1,148000
9353,3,1,116050
10400,3,1,197900
6000,3,1,117000
9750,3,1,213000
10140,3,1,153500
14684,3,1,271900
8900,2,1,107000
9135,3,1,200000
7763,3,1,140000
10182,3,1,290000
11218,3,1,189000
12134,4,1,164000
9340,2,1,113000
10246,0,1,145000
10205,3,1,134500
7094,3,1,125000
8930,4,2,112000
8640,3,1,229456
6240,2,1,80500
1680,3,1,91500
7800,2,1,115000
8250,3,1,134000
10496,3,1,143000
10680,4,1,137900
15384,3,1,184000
10482,3,1,145000
14598,4,1,214000
8872,2,1,147000
8769,1,1,367294
7910,4,1,127000
18890,4,2,190000
7728,3,1,132500
9842,2,2,101800
12160,3,1,142000
8525,4,1,130000
13132,4,1,138887
2628,2,1,175500
12393,4,1,195000
13072,3,1,142500
9037,2,1,265900
8158,3,1,224900
9849,3,1,248328
10625,3,1,170000
13891,2,1,465000
11435,3,1,230000
12090,3,1,178000
8125,3,1,186500
12328,3,1,169900
9600,3,1,129500
7200,3,1,119000
11160,3,1,244000
3136,2,1,171750
9858,3,1,130000
17542,3,1,294000
6931,3,1,165400
6240,3,1,127500
14303,2,1,301500
4060,2,1,99900
9587,2,1,190000
9750,3,1,151000
24682,3,1,181000
9600,2,1,128900
11250,5,1,161500
13515,3,1,180500
4060,2,1,181000
3735,3,1,183900
10120,4,2,122000
13214,3,1,378500
14100,4,1,381000
11344,3,1,144000
23595,0,1,260000
9156,3,1,185750
13526,3,1,137000
11512,2,1,177000
5362,3,1,139000
11345,4,2,137000
12936,3,1,162000
17871,3,1,197900
9473,3,1,237000
7500,2,1,68400
9808,3,1,227000
8049,2,1,180000
8800,3,1,150500
9400,4,2,139000
9638,4,1,169000
6000,4,1,132500
9790,3,1,143000
36500,4,1,190000
5664,2,1,278000
11065,3,1,281000
14112,3,1,180500
1680,3,1,119500
6600,4,2,107500
10140,4,1,162900
8172,2,1,115000
8400,3,1,138500
8700,3,1,155000
3675,2,1,140000
63887,3,1,160000
7500,3,1,154000
10762,3,1,225000
7500,3,1,177500
10120,4,1,290000
8688,3,1,232000
3363,3,1,130000
13173,2,1,325000
6955,2,1,202500
8072,3,1,138000
12000,2,1,147000
7153,3,1,179200
17500,3,1,335000
8814,3,1,203000
9572,4,1,302000
14774,4,1,333168
8190,3,1,119000
11075,4,1,206900
10226,3,1,295493
4230,2,1,208900
14781,3,1,275000
10215,3,1,111000
8400,3,1,156500
6627,2,1,72500
10186,3,1,190000
5330,2,1,82500
9986,2,1,147000
3636,2,1,55000
4270,3,1,79000
6600,3,1,130500
10440,5,1,256000
9084,3,1,176500
10000,3,1,227000
10780,3,1,132500
8877,2,1,100000
7200,2,1,125500
2368,3,1,125000
9650,2,1,167900
9246,4,2,135000
4118,2,1,52500
13450,3,1,200000
9560,3,1,128500
8294,3,1,123000
13695,3,1,155000
9375,3,1,228500
7558,3,1,177000
11103,3,1,155835
6000,2,1,108500
20781,3,1,262500
15306,3,1,283463
16196,3,1,215000
5250,4,1,122000
11643,6,2,200000
9247,4,1,171000
6000,2,1,134900
14720,4,1,410000
10316,3,1,235000
10192,4,1,170000
9477,3,1,110000
12537,3,1,149900
2117,3,1,177500
16737,3,1,315000
9842,4,1,189000
16158,3,1,260000
12513,4,1,104900
8499,3,1,156932
3180,2,1,144152
7500,3,1,216000
9179,3,1,193000
2665,4,1,127000
4435,1,1,144000
10635,3,1,232000
5400,2,1,105000
9600,3,1,165500
9750,3,1,274300
11400,2,1,466500
10625,3,1,250000
10991,3,1,239000
6292,2,1,91000
10998,3,1,117000
1953,2,1,83000
9735,3,1,167500
8212,2,1,58500
12925,4,1,237500
7200,4,1,157000
25339,3,1,112000
9060,2,1,105000
5436,3,1,125500
16692,5,1,250000
8520,5,1,136000
14892,3,1,377500
6000,3,1,131000
9100,3,1,235000
8944,4,2,124000
7838,3,1,123000
